time,KE,T,PE,total E
0.325,828.912702795,1.0793134151,-2490.97341346,-1662.06071067
0.33,822.737457691,1.07127273137,-2484.73552689,-1661.9980692
0.335,816.232198117,1.0628023413,-2478.16993328,-1661.93773516
0.34,810.486314573,1.0553207221,-2472.37527228,-1661.8889577
0.345,806.407251555,1.05000944213,-2468.26506933,-1661.85781777
0.35,804.585516965,1.04763739188,-2466.43581904,-1661.85030208
0.355,805.244332161,1.04849522417,-2467.10646409,-1661.86213193
0.36,808.281385572,1.0524497208,-2470.16686658,-1661.88548101
0.365,813.35704952,1.05905865823,-2475.27834745,-1661.92129793
0.37,819.918787795,1.06760258827,-2481.88631845,-1661.96753066
0.375,827.202686653,1.07708683158,-2489.22258662,-1662.01989997
0.38,834.331515002,1.08636916016,-2496.40244149,-1662.07092648
0.385,840.488386804,1.09438592032,-2502.59511024,-1662.10672343
0.39,845.069563097,1.10035099362,-2507.19471677,-1662.12515368
0.395,847.745167106,1.103834853,-2509.87444223,-1662.12927513
0.4,848.433520666,1.1047311467,-2510.55368378,-1662.12016311
0.405,847.271584515,1.103218209,-2509.37066671,-1662.09908219
0.41,844.619792758,1.09976535515,-2506.67862427,-1662.05883152
0.415,841.088181224,1.09516690264,-2503.09462909,-1662.00644787
0.42,837.494997969,1.09048827861,-2499.44761193,-1661.95261396
0.425,834.639281363,1.08676989761,-2496.56057812,-1661.92129676
0.43,832.9634525,1.08458782878,-2494.89408634,-1661.93063384
0.435,832.338861996,1.08377455989,-2494.31597853,-1661.97711654
0.44,832.128896215,1.08350116695,-2494.1628575,-1662.03396129
0.445,831.537264577,1.08273081325,-2493.6072771,-1662.07001252
0.45,830.066501939,1.08081575773,-2492.13269786,-1662.06619592
0.455,827.829580342,1.0779030994,-2489.84986042,-1662.02028008
0.46,825.530522742,1.07490953482,-2487.48661484,-1661.95609209
0.465,824.0960368,1.07304171458,-2486.00987358,-1661.91383678
0.47,824.174469237,1.07314384015,-2486.08984466,-1661.91537542
0.475,825.859192797,1.07533749062,-2487.80282786,-1661.94363506
0.48,828.824647619,1.07919875992,-2490.79935088,-1661.97470326
0.485,832.641672374,1.08416884424,-2494.63893538,-1661.99726301
0.49,836.905278184,1.0897204143,-2498.93193223,-1662.02665404
0.495,841.13380502,1.09522630862,-2503.20316916,-1662.06936414
0.5,844.702538153,1.09987309655,-2506.81690097,-1662.11436282
0.505,847.023164442,1.10289474537,-2509.15850819,-1662.13534374
0.51,847.863639582,1.10398911404,-2509.98476824,-1662.12112866
0.515,847.473367068,1.1034809467,-2509.56470432,-1662.09133725
0.52,846.33047736,1.10199280906,-2508.40372008,-1662.07324272
0.525,844.737955169,1.09991921246,-2506.81588121,-1662.07792604
0.53,842.692913995,1.09725639843,-2504.78563687,-1662.09272287
0.535,840.049440786,1.09381437602,-2502.15238803,-1662.10294724
0.54,836.672074434,1.08941676359,-2498.77971283,-1662.10763839
0.545,832.538532199,1.08403454713,-2494.63618931,-1662.09765712
0.55,827.865032585,1.07794926118,-2489.92832369,-1662.0632911
0.555,823.196823509,1.07187086394,-2485.20699376,-1662.01017025
0.56,819.319487352,1.06682224916,-2481.2791671,-1661.95967975
0.565,816.995040589,1.06379562577,-2478.92905353,-1661.93401294
0.57,816.657804336,1.06335651606,-2478.60022951,-1661.94242517
0.575,818.245836489,1.06542426626,-2480.22536521,-1661.97952872
0.58,821.228888088,1.06930844803,-2483.2717766,-1662.04288851
0.585,824.674527596,1.07379495781,-2486.80430735,-1662.12977975
0.59,827.367318818,1.07730119638,-2489.5781513,-1662.21083248
0.595,828.210378016,1.07839892971,-2490.45430902,-1662.243931
0.6,826.767528403,1.07652021927,-2488.98310351,-1662.21557511
0.605,823.401496759,1.07213736557,-2485.56563183,-1662.16413507
0.61,818.822105806,1.06617461694,-2480.9526926,-1662.13058679
0.615,813.566944145,1.05933195852,-2475.67831044,-1662.11136629
0.62,807.973495659,1.05204882247,-2470.0607545,-1662.08725884
0.625,802.418275358,1.04481546271,-2464.4678396,-1662.04956424
0.63,797.37649432,1.03825064365,-2459.39813639,-1662.02164207
0.635,793.263158606,1.03289473777,-2455.27466343,-1662.01150482
0.64,790.279677604,1.02900999688,-2452.29282578,-1662.01314817
0.645,788.474008609,1.02665886538,-2450.4860304,-1662.01202179
0.65,787.906362071,1.02591974228,-2449.9090408,-1662.00267873
